School.Year,County,Grade,Vaccine.Series,Number.of.Schools,Total.Enrollment.Count,Total.Vaccinated.Count,Percentage.Vaccinated,Religious..Flu.Only.Exemption.Count,Religious.Exemption.Count,Percentage.Religious.Exemption,Medical.Exemption.Count,Percentage.Medical.Exemption,Percentage.Compliant,Percentage.Non.Compliant
2022-2023,Windham,7th,MMR,20,1154,1118,96.9,NA,29,2.5,2,0.2,99.6,0.4
2022-2023,Windham,7th,HepB,20,1154,1119,97,NA,29,2.5,2,0.2,99.7,0.3
2022-2023,Windham,7th,Varicella,20,1154,1119,97,NA,29,2.5,2,0.2,99.7,0.3
2022-2023,Windham,7th,HepA,20,1154,1118,96.9,NA,29,2.5,2,0.2,99.6,0.4
2022-2023,Windham,7th,MCV,20,1154,1057,91.6,NA,29,2.5,2,0.2,94.3,5.7
2022-2023,Windham,7th,Tdap,20,1154,1064,92.2,NA,29,2.5,2,0.2,94.9,5.1
2022-2023,Windham,7th,All,20,1154,1010,87.5,NA,29,2.5,2,0.2,90.2,9.8
2021-2022,Fairfield,Pre-K,Flu,117,5998,5352,89.2,71,83,2.6,20,0.3,92.1,7.9
2021-2022,Fairfield,K,Polio,181,10393,9953,95.8,NA,212,2,37,0.4,98.2,1.8
2021-2022,Fairfield,K,DTaP,181,10393,9954,95.8,NA,212,2,37,0.4,98.2,1.8
2021-2022,Fairfield,K,MMR,181,10393,9916,95.4,NA,212,2,37,0.4,97.8,2.2
2021-2022,Fairfield,K,HepB,181,10393,9978,96,NA,212,2,37,0.4,98.4,1.6
2021-2022,Fairfield,K,Varicella,181,10393,9874,95,NA,212,2,37,0.4,97.4,2.6
2021-2022,Fairfield,K,HepA,181,10393,9932,95.6,NA,212,2,37,0.4,98,2
2021-2022,Fairfield,K,All,181,10393,9751,93.8,NA,212,2,37,0.4,96.2,3.8
2021-2022,Fairfield,7th,Polio,120,11722,11406,97.3,NA,211,1.8,46,0.4,99.5,0.5
2021-2022,Fairfield,7th,DTaP,120,11722,11343,96.8,NA,211,1.8,46,0.4,99,1
2021-2022,Fairfield,7th,MMR,120,11722,11434,97.5,NA,211,1.8,46,0.4,99.7,0.3
2021-2022,Fairfield,7th,HepB,120,11722,11426,97.5,NA,211,1.8,46,0.4,99.7,0.3
2021-2022,Fairfield,7th,Varicella,120,11722,11395,97.2,NA,211,1.8,46,0.4,99.4,0.6
2021-2022,Fairfield,7th,HepA,120,11722,11379,97.1,NA,211,1.8,46,0.4,99.3,0.7
2021-2022,Fairfield,7th,MCV,120,11722,10899,93,NA,211,1.8,46,0.4,95.2,4.8
2021-2022,Fairfield,7th,Tdap,120,11722,10941,93.3,NA,211,1.8,46,0.4,95.5,4.5
2021-2022,Fairfield,7th,All,120,11722,10764,91.8,NA,211,1.8,46,0.4,94,6
2021-2022,Hartford,Pre-K,Flu,97,5525,4914,88.9,47,70,2.1,16,0.3,91.3,8.7
2021-2022,Hartford,K,Polio,163,9261,8913,96.2,NA,168,1.8,12,0.1,98.2,1.8
