"Age Group","Year","Sex","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"10 to 14","2023","Males","12,794","10,667,918","119.93","--","493","2,181","17.0%","8,520","17,068"
"10 to 14","2023","Females","60,596","10,166,646","596.03","--","2,276","10,948","18.1%","39,138","82,055"
"10 to 14","2022","Males","14,311","10,835,340","132.08","--","520","2,664","18.6%","9,090","19,532"
"10 to 14","2022","Females","64,620","10,317,654","626.31","--","2,502","12,214","18.9%","40,682","88,559"
"10 to 14","2021","Males","10,621","10,996,920","96.58","--","329","1,982","18.7%","6,735","14,506"
"10 to 14","2021","Females","61,594","10,467,654","588.42","--","1,871","9,480","15.4%","43,014","80,175"
"10 to 14","2020","Males","7,701","11,109,121","69.32","--","276","1,646","21.4%","4,475","10,927"
"10 to 14","2020","Females","45,248","10,585,215","427.46","--","1,484","6,468","14.3%","32,571","57,925"
"10 to 14","2019","Males","8,744","10,629,162","82.26","--","323","1,389","15.9%","6,021","11,467"
"10 to 14","2019","Females","39,111","10,190,891","383.78","--","1,329","5,247","13.4%","28,827","49,395"
"10 to 14","2018","Males","9,121","10,663,948","85.53","--","295","1,554","17.0%","6,074","12,168"
"10 to 14","2018","Females","35,133","10,223,894","343.64","--","1,168","5,431","15.5%","24,488","45,779"
"10 to 14","2017","Males","6,570","10,609,152","61.93","--","241","1,301","19.8%","4,019","9,121"
"10 to 14","2017","Females","34,545","10,174,304","339.53","--","1,119","4,494","13.0%","25,738","43,352"
"10 to 14","2016","Males","5,386","10,529,234","51.15","--","190","1,076","20.0%","3,277","7,494"
"10 to 14","2016","Females","31,133","10,104,766","308.10","--","927","3,965","12.7%","23,362","38,904"
"10 to 14","2015","Males","4,642","10,517,252","44.14","--","180","1,081","23.3%","2,523","6,761"
"10 to 14","2015","Females","32,095","10,097,361","317.86","--","1,033","3,820","11.9%","24,608","39,582"
"10 to 14","2014","Males","4,904","10,551,032","46.48","--","175","1,020","20.8%","2,904","6,904"
"10 to 14","2014","Females","31,878","10,122,728","314.92","--","973","4,969","15.6%","22,139","41,617"
"10 to 14","2013","Males","6,079","10,547,243","57.64","--","158","1,118","18.4%","3,889","8,270"
"10 to 14","2013","Females","28,160","10,109,744","278.55","--","673","4,170","14.8%","19,988","36,333"
"10 to 14","2012","Males","4,281","10,562,254","40.53","--","118","706","16.5%","2,898","5,665"
"10 to 14","2012","Females","20,302","10,111,589","200.77","--","534","2,525","12.4%","15,352","25,251"
"10 to 14","2011","Males","4,647","10,587,916","43.89","--","130","754","16.2%","3,170","6,124"
"10 to 14","2011","Females","18,454","10,127,110","182.23","--","424","2,565","13.9%","13,427","23,481"
"10 to 14","2010","Males","5,212","10,579,975","49.26","--","127","1,107","21.2%","3,042","7,383"
"10 to 14","2010","Females","15,598","10,097,402","154.47","--","350","2,452","15.7%","10,791","20,404"
"10 to 14","2009","Males","2,734","10,571,832","25.86","--","76","506","18.5%","1,742","3,726"
"10 to 14","2009","Females","11,080","10,088,732","109.82","--","324","2,092","18.9%","6,979","15,181"
"10 to 14","2008","Males","3,037","10,598,181","28.66","--","87","570","18.8%","1,919","4,155"
"10 to 14","2008","Females","12,368","10,108,474","122.35","--","291","1,762","14.2%","8,914","15,822"
"10 to 14","2007","Males","4,464","10,670,960","41.83","--","91","879","19.7%","2,741","6,186"
"10 to 14","2007","Females","15,614","10,170,082","153.53","--","306","2,117","13.6%","11,465","19,764"
"10 to 14","2006","Males","4,399","10,771,194","40.84","--","91","874","19.9%","2,686","6,112"
"10 to 14","2006","Females","15,378","10,261,944","149.85","--","311","2,316","15.1%","10,839","19,917"
"10 to 14","2005","Males","5,310","10,864,197","48.87","--","109","1,114","21.0%","3,127","7,493"
"10 to 14","2005","Females","13,339","10,348,382","128.90","--","339","1,634","12.2%","10,137","16,542"
"10 to 14","2004","Males","5,674","10,967,974","51.74","--","124","1,025","18.1%","3,666","7,683"
"10 to 14","2004","Females","17,115","10,443,706","163.88","--","364","2,173","12.7%","12,857","21,374"
"10 to 14","2003","Males","4,192","10,970,478","38.21","--","88","960","22.9%","2,311","6,074"
"10 to 14","2003","Females","15,617","10,444,875","149.52","--","326","2,219","14.2%","11,268","19,965"
"10 to 14","2002","Males","4,661","10,889,999","42.80","--","97","899","19.3%","2,899","6,423"
"10 to 14","2002","Females","12,812","10,371,422","123.53","--","307","2,022","15.8%","8,848","16,776"
"10 to 14","2001","Males","3,640","10,747,209","33.87","--","93","687","18.9%","2,293","4,987"
"10 to 14","2001","Females","12,218","10,231,469","119.42","--","286","2,126","17.4%","8,051","16,385"
"15 to 19","2023","Males","31,167","11,296,635","275.90","--","901","4,279","13.7%","22,780","39,554"
"15 to 19","2023","Females","73,971","10,778,845","686.26","--","2,295","10,572","14.3%","53,250","94,692"
"15 to 19","2022","Males","35,029","11,167,267","313.67","--","974","5,757","16.4%","23,746","46,312"
"15 to 19","2022","Females","92,376","10,666,036","866.07","--","2,774","13,124","14.2%","66,652","118,099"
"15 to 19","2021","Males","29,225","11,030,293","264.96","--","661","4,346","14.9%","20,707","37,744"
"15 to 19","2021","Females","83,092","10,549,032","787.67","--","2,145","10,258","12.3%","62,987","103,197"
"15 to 19","2020","Males","29,627","11,008,738","269.13","--","656","4,500","15.2%","20,807","38,447"
"15 to 19","2020","Females","69,293","10,533,347","657.84","--","1,770","9,824","14.2%","50,038","88,547"
"15 to 19","2019","Males","28,136","10,752,848","261.66","--","614","3,569","12.7%","21,140","35,132"
"15 to 19","2019","Females","71,133","10,313,575","689.70","--","1,646","6,510","9.2%","58,374","83,892"
"15 to 19","2018","Males","27,330","10,762,990","253.93","--","582","3,468","12.7%","20,534","34,126"
"15 to 19","2018","Females","70,779","10,314,076","686.24","--","1,587","7,659","10.8%","55,768","85,790"
"15 to 19","2017","Males","23,469","10,783,133","217.64","--","560","2,475","10.5%","18,618","28,320"
"15 to 19","2017","Females","68,065","10,322,453","659.39","--","1,543","7,014","10.3%","54,317","81,813"
"15 to 19","2016","Males","25,796","10,804,809","238.74","--","496","3,233","12.5%","19,459","32,133"
"15 to 19","2016","Females","71,346","10,335,334","690.31","--","1,532","7,826","11.0%","56,008","86,684"
"15 to 19","2015","Males","27,696","10,787,033","256.75","--","531","3,300","11.9%","21,228","34,164"
"15 to 19","2015","Females","65,212","10,303,239","632.93","--","1,356","6,602","10.1%","52,272","78,152"
"15 to 19","2014","Males","24,051","10,778,182","223.15","--","467","3,630","15.1%","16,937","31,165"
"15 to 19","2014","Females","60,081","10,282,180","584.33","--","1,272","5,957","9.9%","48,406","71,757"
"15 to 19","2013","Males","23,465","10,850,915","216.25","--","495","3,354","14.3%","16,890","30,039"
"15 to 19","2013","Females","58,507","10,332,561","566.24","--","1,239","7,111","12.2%","44,569","72,444"
"15 to 19","2012","Males","25,679","10,962,987","234.23","--","488","3,043","11.9%","19,714","31,643"
"15 to 19","2012","Females","56,730","10,411,033","544.91","--","1,165","5,691","10.0%","45,576","67,884"
"15 to 19","2011","Males","24,653","11,121,013","221.68","--","450","3,282","13.3%","18,221","31,084"
"15 to 19","2011","Females","55,588","10,540,730","527.36","--","1,070","6,359","11.4%","43,125","68,051"
"15 to 19","2010","Males","22,806","11,304,511","201.74","--","357","3,160","13.9%","16,612","29,000"
"15 to 19","2010","Females","48,838","10,737,036","454.85","--","902","5,896","12.1%","37,282","60,394"
"15 to 19","2009","Males","19,133","11,388,239","168.01","--","361","2,738","14.3%","13,767","24,498"
"15 to 19","2009","Females","41,839","10,804,571","387.23","--","892","5,426","13.0%","31,203","52,475"
"15 to 19","2008","Males","20,692","11,405,732","181.42","--","375","2,812","13.6%","15,180","26,204"
"15 to 19","2008","Females","43,786","10,805,148","405.24","--","893","5,047","11.5%","33,894","53,679"
"15 to 19","2007","Males","23,733","11,336,490","209.35","--","416","3,030","12.8%","17,793","29,673"
"15 to 19","2007","Females","45,572","10,731,326","424.67","--","880","4,982","10.9%","35,808","55,337"
"15 to 19","2006","Males","25,788","11,210,416","230.03","--","415","3,290","12.8%","19,340","32,235"
"15 to 19","2006","Females","46,026","10,597,293","434.32","--","774","6,220","13.5%","33,835","58,216"
"15 to 19","2005","Males","21,739","11,051,425","196.71","--","397","2,686","12.4%","16,476","27,003"
"15 to 19","2005","Females","45,590","10,434,789","436.90","--","847","4,863","10.7%","36,059","55,121"
"15 to 19","2004","Males","24,591","10,859,759","226.44","--","444","2,985","12.1%","18,740","30,442"
"15 to 19","2004","Females","52,219","10,242,793","509.81","--","898","6,200","11.9%","40,067","64,371"
"15 to 19","2003","Males","22,269","10,710,599","207.92","--","367","2,782","12.5%","16,817","27,721"
"15 to 19","2003","Females","44,720","10,086,567","443.36","--","763","5,541","12.4%","33,859","55,580"
"15 to 19","2002","Males","23,019","10,628,491","216.58","--","428","2,730","11.9%","17,667","28,370"
"15 to 19","2002","Females","35,090","9,981,879","351.54","--","728","4,418","12.6%","26,430","43,750"
"15 to 19","2001","Males","22,543","10,547,387","213.73","--","387","3,307","14.7%","16,061","29,026"
"15 to 19","2001","Females","38,572","9,908,897","389.26","--","725","5,946","15.4%","26,918","50,225"
"20 to 24","2023","Males","23,093","11,126,811","207.55","--","579","2,527","10.9%","18,141","28,046"
"20 to 24","2023","Females","33,724","10,684,361","315.64","--","861","3,108","9.2%","27,633","39,816"
"20 to 24","2022","Males","26,387","11,041,722","238.98","--","579","3,121","11.8%","20,269","32,505"
"20 to 24","2022","Females","41,967","10,610,958","395.51","--","938","4,601","11.0%","32,950","50,985"
"20 to 24","2021","Males","25,477","10,982,855","231.97","--","404","3,696","14.5%","18,233","32,720"
"20 to 24","2021","Females","41,323","10,559,874","391.32","--","724","5,230","12.7%","31,071","51,575"
"20 to 24","2020","Males","27,479","10,948,667","250.98","--","436","4,153","15.1%","19,339","35,619"
"20 to 24","2020","Females","44,875","10,524,958","426.37","--","609","6,674","14.9%","31,794","57,956"
"20 to 24","2019","Males","29,040","11,066,850","262.41","--","424","3,283","11.3%","22,605","35,475"
"20 to 24","2019","Females","41,275","10,577,124","390.23","--","602","4,112","10.0%","33,216","49,335"
"20 to 24","2018","Males","27,884","11,172,233","249.59","--","404","3,069","11.0%","21,869","33,900"
"20 to 24","2018","Females","37,971","10,652,877","356.44","--","540","3,830","10.1%","30,465","45,477"
"20 to 24","2017","Males","27,337","11,314,113","241.62","--","410","3,217","11.8%","21,032","33,642"
"20 to 24","2017","Females","39,891","10,747,498","371.17","--","590","3,734","9.4%","32,572","47,211"
"20 to 24","2016","Males","27,017","11,486,770","235.20","--","355","2,648","9.8%","21,827","32,207"
"20 to 24","2016","Females","40,043","10,880,883","368.01","--","554","3,004","7.5%","34,155","45,930"
"20 to 24","2015","Males","28,445","11,646,473","244.24","--","407","3,206","11.3%","22,161","34,730"
"20 to 24","2015","Females","38,331","11,043,025","347.11","--","556","3,541","9.2%","31,391","45,271"
"20 to 24","2014","Males","25,227","11,734,876","214.97","--","426","3,430","13.6%","18,504","31,949"
"20 to 24","2014","Females","36,740","11,157,116","329.30","--","556","4,245","11.6%","28,419","45,061"
"20 to 24","2013","Males","28,739","11,687,700","245.89","--","456","3,375","11.7%","22,124","35,353"
"20 to 24","2013","Females","36,531","11,139,145","327.95","--","617","3,848","10.5%","28,988","44,074"
"20 to 24","2012","Males","27,617","11,547,696","239.15","--","434","2,513","9.1%","22,692","32,541"
"20 to 24","2012","Females","40,363","11,048,703","365.32","--","624","4,678","11.6%","31,194","49,531"
"20 to 24","2011","Males","30,378","11,306,266","268.68","--","440","3,732","12.3%","23,063","37,692"
"20 to 24","2011","Females","40,310","10,858,603","371.23","--","627","5,243","13.0%","30,034","50,585"
"20 to 24","2010","Males","30,553","11,015,251","277.37","--","443","4,228","13.8%","22,265","38,840"
"20 to 24","2010","Females","34,173","10,572,322","323.23","--","523","4,281","12.5%","25,782","42,564"
"20 to 24","2009","Males","25,733","10,924,709","235.55","--","424","3,678","14.3%","18,524","32,942"
"20 to 24","2009","Females","30,681","10,459,413","293.33","--","491","4,029","13.1%","22,784","38,577"
"20 to 24","2008","Males","22,885","10,841,046","211.10","--","390","2,836","12.4%","17,326","28,445"
"20 to 24","2008","Females","32,098","10,339,566","310.43","--","516","3,956","12.3%","24,344","39,851"
"20 to 24","2007","Males","26,086","10,807,836","241.36","--","398","3,396","13.0%","19,429","32,743"
"20 to 24","2007","Females","33,876","10,270,163","329.85","--","529","3,499","10.3%","27,019","40,734"
"20 to 24","2006","Males","26,523","10,797,351","245.64","--","387","3,939","14.9%","18,803","34,243"
"20 to 24","2006","Females","31,058","10,238,784","303.34","--","474","3,965","12.8%","23,288","38,829"
"20 to 24","2005","Males","29,313","10,737,149","273.00","--","457","3,493","11.9%","22,466","36,160"
"20 to 24","2005","Females","27,151","10,222,806","265.59","--","436","3,176","11.7%","20,926","33,375"
"20 to 24","2004","Males","27,295","10,654,919","256.17","--","407","4,459","16.3%","18,555","36,034"
"20 to 24","2004","Females","33,974","10,190,641","333.39","--","483","4,880","14.4%","24,410","43,539"
"20 to 24","2003","Males","28,849","10,497,965","274.80","--","382","3,951","13.7%","21,104","36,593"
"20 to 24","2003","Females","29,925","10,093,723","296.47","--","402","4,088","13.7%","21,912","37,937"
"20 to 24","2002","Males","21,493","10,327,520","208.11","--","329","2,848","13.3%","15,910","27,075"
"20 to 24","2002","Females","27,312","9,916,245","275.42","--","450","4,213","15.4%","19,054","35,570"
"20 to 24","2001","Males","24,266","10,080,336","240.73","--","350","3,737","15.4%","16,942","31,591"
"20 to 24","2001","Females","22,059","9,676,950","227.96","--","355","3,787","17.2%","14,637","29,481"
"25 to 29","2023","Males","22,143","11,175,898","198.13","--","531","2,434","11.0%","17,371","26,914"
"25 to 29","2023","Females","23,677","10,842,462","218.37","--","576","2,160","9.1%","19,443","27,911"
"25 to 29","2022","Males","25,710","11,250,667","228.52","--","576","2,724","10.6%","20,371","31,050"
"25 to 29","2022","Females","26,794","10,900,421","245.81","--","573","2,687","10.0%","21,528","32,060"
"25 to 29","2021","Males","23,750","11,384,636","208.61","--","414","2,912","12.3%","18,043","29,457"
"25 to 29","2021","Females","23,925","11,021,072","217.08","--","431","2,912","12.2%","18,218","29,632"
"25 to 29","2020","Males","22,724","11,578,669","196.25","--","373","3,144","13.8%","16,561","28,886"
"25 to 29","2020","Females","27,029","11,222,830","240.84","--","412","3,284","12.1%","20,593","33,465"
"25 to 29","2019","Males","25,628","12,020,738","213.20","--","406","2,801","10.9%","20,138","31,118"
"25 to 29","2019","Females","28,475","11,518,714","247.20","--","432","3,691","13.0%","21,239","35,710"
"25 to 29","2018","Males","26,515","12,011,397","220.75","--","414","3,389","12.8%","19,873","33,157"
"25 to 29","2018","Females","33,370","11,535,821","289.27","--","455","3,967","11.9%","25,595","41,144"
"25 to 29","2017","Males","28,991","11,897,087","243.68","--","425","2,836","9.8%","23,432","34,551"
"25 to 29","2017","Females","26,116","11,463,708","227.81","--","406","2,338","9.0%","21,532","30,699"
"25 to 29","2016","Males","25,231","11,668,343","216.24","--","391","2,757","10.9%","19,827","30,635"
"25 to 29","2016","Females","26,384","11,271,329","234.08","--","345","2,321","8.8%","21,834","30,933"
"25 to 29","2015","Males","27,254","11,402,007","239.02","--","425","3,645","13.4%","20,110","34,398"
"25 to 29","2015","Females","26,716","11,029,349","242.23","--","376","2,845","10.6%","21,141","32,292"
"25 to 29","2014","Males","20,965","11,154,019","187.96","--","356","3,063","14.6%","14,962","26,968"
"25 to 29","2014","Females","28,126","10,814,504","260.08","--","445","4,138","14.7%","20,016","36,236"
"25 to 29","2013","Males","24,045","10,940,347","219.78","--","423","3,270","13.6%","17,636","30,454"
"25 to 29","2013","Females","26,746","10,642,006","251.33","--","457","3,428","12.8%","20,027","33,466"
"25 to 29","2012","Males","24,670","10,825,742","227.89","--","403","3,337","13.5%","18,131","31,210"
"25 to 29","2012","Females","26,391","10,567,537","249.74","--","416","2,984","11.3%","20,542","32,240"
"25 to 29","2011","Males","26,379","10,746,888","245.46","--","391","4,641","17.6%","17,284","35,475"
"25 to 29","2011","Females","29,986","10,538,326","284.54","--","460","3,837","12.8%","22,467","37,506"
"25 to 29","2010","Males","26,068","10,636,515","245.08","--","377","3,915","15.0%","18,395","33,740"
"25 to 29","2010","Females","31,242","10,466,592","298.49","--","461","3,658","11.7%","24,072","38,411"
"25 to 29","2009","Males","21,300","10,611,357","200.72","--","351","2,635","12.4%","16,135","26,464"
"25 to 29","2009","Females","24,260","10,466,871","231.78","--","400","3,299","13.6%","17,794","30,726"
"25 to 29","2008","Males","20,683","10,509,136","196.81","--","308","2,871","13.9%","15,057","26,310"
"25 to 29","2008","Females","25,184","10,393,532","242.30","--","420","3,324","13.2%","18,668","31,699"
"25 to 29","2007","Males","21,517","10,313,439","208.63","--","339","2,209","10.3%","17,187","25,846"
"25 to 29","2007","Females","25,595","10,229,259","250.22","--","382","2,443","9.5%","20,808","30,383"
"25 to 29","2006","Males","18,411","10,095,589","182.37","--","289","2,971","16.1%","12,587","24,235"
"25 to 29","2006","Females","24,520","10,014,422","244.85","--","372","2,932","12.0%","18,775","30,266"
"25 to 29","2005","Males","19,568","9,822,166","199.22","--","315","2,789","14.3%","14,101","25,034"
"25 to 29","2005","Females","22,334","9,712,544","229.95","--","360","2,597","11.6%","17,244","27,424"
"25 to 29","2004","Males","20,083","9,627,975","208.59","--","303","2,372","11.8%","15,433","24,733"
"25 to 29","2004","Females","25,932","9,479,080","273.57","--","365","3,645","14.1%","18,787","33,076"
"25 to 29","2003","Males","20,865","9,464,481","220.46","--","273","3,049","14.6%","14,888","26,842"
"25 to 29","2003","Females","24,645","9,307,104","264.80","--","347","2,921","11.9%","18,920","30,370"
"25 to 29","2002","Males","16,298","9,442,754","172.60","--","243","2,430","14.9%","11,535","21,062"
"25 to 29","2002","Females","21,043","9,248,586","227.53","--","342","2,386","11.3%","16,366","25,720"
"25 to 29","2001","Males","15,540","9,516,234","163.30","--","220","2,588","16.7%","10,467","20,613"
"25 to 29","2001","Females","18,370","9,303,113","197.46","--","286","3,077","16.7%","12,339","24,401"
"30 to 34","2023","Males","22,147","11,883,289","186.37","--","552","2,578","11.6%","17,094","27,201"
"30 to 34","2023","Females","21,142","11,640,867","181.62","--","501","2,371","11.2%","16,495","25,789"
"30 to 34","2022","Males","24,270","11,806,283","205.57","--","551","2,875","11.8%","18,636","29,905"
"30 to 34","2022","Females","21,434","11,573,839","185.19","--","436","2,491","11.6%","16,551","26,317"
"30 to 34","2021","Males","21,125","11,679,196","180.88","--","375","2,964","14.0%","15,315","26,935"
"30 to 34","2021","Females","20,028","11,435,087","175.15","--","325","2,734","13.6%","14,670","25,386"
"30 to 34","2020","Males","23,591","11,571,842","203.87","--","370","3,193","13.5%","17,332","29,850"
"30 to 34","2020","Females","20,485","11,303,167","181.23","--","316","2,275","11.1%","16,026","24,944"
"30 to 34","2019","Males","21,808","11,370,500","191.80","--","347","2,745","12.6%","16,428","27,189"
"30 to 34","2019","Females","23,290","11,093,732","209.94","--","322","3,275","14.1%","16,872","29,709"
"30 to 34","2018","Males","26,799","11,186,277","239.57","--","373","3,282","12.2%","20,366","33,231"
"30 to 34","2018","Females","21,981","10,945,565","200.82","--","320","3,187","14.5%","15,735","28,228"
"30 to 34","2017","Males","20,874","11,081,933","188.36","--","328","2,577","12.3%","15,823","25,925"
"30 to 34","2017","Females","24,513","10,877,130","225.36","--","345","2,090","8.5%","20,416","28,610"
"30 to 34","2016","Males","21,063","10,997,952","191.52","--","300","2,288","10.9%","16,578","25,549"
"30 to 34","2016","Females","22,893","10,837,503","211.24","--","309","2,538","11.1%","17,918","27,868"
"30 to 34","2015","Males","23,045","10,875,937","211.89","--","325","2,604","11.3%","17,941","28,150"
"30 to 34","2015","Females","24,735","10,765,946","229.75","--","367","2,849","11.5%","19,151","30,319"
"30 to 34","2014","Males","21,046","10,796,288","194.93","--","336","2,879","13.7%","15,403","26,689"
"30 to 34","2014","Females","26,738","10,711,000","249.63","--","400","3,035","11.4%","20,789","32,687"
"30 to 34","2013","Males","21,379","10,668,769","200.39","--","410","3,107","14.5%","15,290","27,468"
"30 to 34","2013","Females","25,039","10,603,284","236.15","--","404","2,879","11.5%","19,397","30,681"
"30 to 34","2012","Males","22,836","10,480,606","217.88","--","375","3,057","13.4%","16,844","28,827"
"30 to 34","2012","Females","26,543","10,430,149","254.48","--","421","2,757","10.4%","21,138","31,947"
"30 to 34","2011","Males","24,189","10,274,014","235.44","--","342","3,915","16.2%","16,516","31,863"
"30 to 34","2011","Females","26,797","10,241,721","261.64","--","398","2,933","10.9%","21,048","32,546"
"30 to 34","2010","Males","20,591","9,997,129","205.97","--","298","3,286","16.0%","14,150","27,032"
"30 to 34","2010","Females","25,297","9,965,895","253.83","--","352","2,904","11.5%","19,605","30,988"
"30 to 34","2009","Males","16,916","9,844,555","171.83","--","265","2,782","16.4%","11,463","22,368"
"30 to 34","2009","Females","22,647","9,800,559","231.08","--","350","3,074","13.6%","16,623","28,672"
"30 to 34","2008","Males","15,141","9,678,926","156.44","--","247","2,149","14.2%","10,930","19,353"
"30 to 34","2008","Females","22,333","9,625,879","232.01","--","327","2,645","11.8%","17,150","27,516"
"30 to 34","2007","Males","16,078","9,611,431","167.28","--","256","1,837","11.4%","12,479","19,678"
"30 to 34","2007","Females","20,547","9,559,334","214.94","--","319","2,597","12.6%","15,456","25,637"
"30 to 34","2006","Males","17,510","9,673,250","181.02","--","275","2,707","15.5%","12,204","22,817"
"30 to 34","2006","Females","20,159","9,611,918","209.73","--","283","2,569","12.7%","15,124","25,194"
"30 to 34","2005","Males","18,781","9,888,783","189.93","--","268","3,090","16.5%","12,724","24,839"
"30 to 34","2005","Females","19,650","9,835,154","199.79","--","313","2,674","13.6%","14,409","24,891"
"30 to 34","2004","Males","22,718","10,118,356","224.52","--","315","3,073","13.5%","16,694","28,741"
"30 to 34","2004","Females","23,893","10,041,145","237.95","--","348","3,315","13.9%","17,396","30,389"
"30 to 34","2003","Males","21,098","10,278,392","205.27","--","285","2,774","13.1%","15,661","26,536"
"30 to 34","2003","Females","26,422","10,193,818","259.19","--","368","3,813","14.4%","18,948","33,895"
"30 to 34","2002","Males","17,704","10,388,113","170.43","--","274","2,720","15.4%","12,373","23,035"
"30 to 34","2002","Females","19,454","10,270,193","189.42","--","312","2,731","14.0%","14,100","24,807"
"30 to 34","2001","Males","17,990","10,388,245","173.18","--","269","2,778","15.4%","12,546","23,434"
"30 to 34","2001","Females","21,631","10,263,930","210.74","--","328","4,449","20.6%","12,910","30,352"
"35 to 39","2023","Males","18,837","11,364,080","165.76","--","483","2,342","12.4%","14,246","23,427"
"35 to 39","2023","Females","19,081","11,142,564","171.24","--","418","1,855","9.7%","15,445","22,716"
"35 to 39","2022","Males","19,474","11,301,271","172.32","--","439","2,353","12.1%","14,861","24,087"
"35 to 39","2022","Females","17,765","11,071,034","160.47","--","377","2,069","11.6%","13,709","21,821"
"35 to 39","2021","Males","17,307","11,269,599","153.57","--","312","2,703","15.6%","12,009","22,605"
"35 to 39","2021","Females","15,728","11,041,312","142.45","--","263","2,187","13.9%","11,441","20,015"
"35 to 39","2020","Males","17,691","11,226,435","157.58","--","289","2,365","13.4%","13,055","22,326"
"35 to 39","2020","Females","15,597","11,006,385","141.71","--","248","2,177","14.0%","11,330","19,863"
"35 to 39","2019","Males","18,631","10,892,543","171.05","--","318","2,493","13.4%","13,744","23,518"
"35 to 39","2019","Females","20,969","10,861,340","193.06","--","311","2,422","11.6%","16,221","25,717"
"35 to 39","2018","Males","20,952","10,781,732","194.33","--","311","2,950","14.1%","15,170","26,735"
"35 to 39","2018","Females","18,676","10,767,228","173.45","--","274","2,214","11.9%","14,337","23,015"
"35 to 39","2017","Males","19,864","10,596,983","187.45","--","305","2,691","13.5%","14,590","25,138"
"35 to 39","2017","Females","19,729","10,594,335","186.22","--","291","1,856","9.4%","16,092","23,366"
"35 to 39","2016","Males","20,811","10,385,679","200.38","--","284","3,090","14.8%","14,755","26,867"
"35 to 39","2016","Females","19,528","10,399,494","187.77","--","270","2,328","11.9%","14,965","24,090"
"35 to 39","2015","Males","19,240","10,142,245","189.70","--","301","2,682","13.9%","13,983","24,497"
"35 to 39","2015","Females","20,176","10,166,224","198.46","--","275","2,722","13.5%","14,841","25,510"
"35 to 39","2014","Males","15,660","9,913,940","157.96","--","282","1,944","12.4%","11,850","19,471"
"35 to 39","2014","Females","18,103","9,959,734","181.76","--","304","2,389","13.2%","13,421","22,784"
"35 to 39","2013","Males","18,418","9,772,347","188.47","--","317","2,631","14.3%","13,261","23,574"
"35 to 39","2013","Females","21,422","9,832,348","217.88","--","349","2,633","12.3%","16,261","26,584"
"35 to 39","2012","Males","16,823","9,704,768","173.35","--","296","2,167","12.9%","12,576","21,070"
"35 to 39","2012","Females","23,614","9,785,513","241.31","--","375","2,960","12.5%","17,813","29,414"
"35 to 39","2011","Males","20,221","9,755,172","207.29","--","300","3,125","15.5%","14,097","26,346"
"35 to 39","2011","Females","22,793","9,843,250","231.56","--","346","2,239","9.8%","18,404","27,181"
"35 to 39","2010","Males","18,940","10,042,579","188.59","--","279","3,360","17.7%","12,355","25,525"
"35 to 39","2010","Females","22,783","10,137,913","224.73","--","329","2,489","10.9%","17,904","27,663"
"35 to 39","2009","Males","14,570","10,215,627","142.62","--","263","1,968","13.5%","10,713","18,426"
"35 to 39","2009","Females","20,172","10,292,169","196.00","--","322","2,638","13.1%","15,002","25,343"
"35 to 39","2008","Males","15,150","10,379,654","145.96","--","256","1,672","11.0%","11,873","18,427"
"35 to 39","2008","Females","21,657","10,437,809","207.48","--","330","2,706","12.5%","16,353","26,960"
"35 to 39","2007","Males","18,305","10,461,052","174.98","--","287","2,510","13.7%","13,385","23,225"
"35 to 39","2007","Females","22,628","10,502,839","215.45","--","337","2,159","9.5%","18,398","26,859"
"35 to 39","2006","Males","17,760","10,451,785","169.93","--","284","2,656","15.0%","12,554","22,967"
"35 to 39","2006","Females","22,826","10,489,448","217.61","--","319","2,012","8.8%","18,882","26,770"
"35 to 39","2005","Males","15,118","10,387,033","145.54","--","246","2,062","13.6%","11,077","19,159"
"35 to 39","2005","Females","24,146","10,411,620","231.91","--","370","2,435","10.1%","19,373","28,919"
"35 to 39","2004","Males","19,580","10,421,329","187.88","--","294","2,834","14.5%","14,026","25,134"
"35 to 39","2004","Females","22,488","10,453,320","215.13","--","312","2,672","11.9%","17,251","27,724"
"35 to 39","2003","Males","21,738","10,604,058","205.00","--","286","3,180","14.6%","15,506","27,970"
"35 to 39","2003","Females","24,768","10,660,101","232.35","--","343","3,200","12.9%","18,496","31,040"
"35 to 39","2002","Males","15,927","10,847,772","146.82","--","268","2,605","16.4%","10,822","21,032"
"35 to 39","2002","Females","20,853","10,903,446","191.25","--","319","2,888","13.8%","15,193","26,513"
"35 to 39","2001","Males","18,791","11,094,408","169.37","--","247","3,298","17.6%","12,327","25,255"
